Date_Time,Subject,Day_In_Week,Hours,Call_Started_Time,time_For_Wating_After_Voice_Mail,Answer_Time_From_,Representative_response_time_in_secounds,total_Time_Till_Response,Summery_Of_Call,Is_Was_a_Long_Wating_Time_Message,Other_Languages
2016-01-05 09:32:00,General,3,8:00-11:00,9:31:02,9:31:53,9:32:18,76,25,Full reply received,No,No Foreign languages
2016-01-05 09:38:00,Health,3,8:00-11:00,9:33:20,9:34:15,9:38:46,326,271,Full reply received,No,No Foreign languages
2016-01-05 09:40:00,Health,3,8:00-11:00,9:39:27,9:40:12,9:40:58,91,46,Full reply received,No,No Foreign languages
2016-01-05 09:42:00,General,3,8:00-11:00,9:42:04,9:42:54,9:43:05,61,11,Full reply received,No,No Foreign languages
2016-01-05 09:43:00,General,3,8:00-11:00,9:44:00,9:44:00,9:44:17,17,17,Full reply received,No,No Foreign languages
2016-01-05 09:53:00,General,3,8:00-11:00,9:53:03,9:53:44,9:54:09,66,25,Full reply received,No,No Foreign languages
2016-01-05 10:00:00,Health,3,8:00-11:00,9:55:11,9:56:26,10:00:56,345,270,Full reply received,No,No Foreign languages
2016-01-05 10:04:00,Health,3,8:00-11:00,10:01:50,10:03:18,10:04:03,133,45,Full reply received,No,No Foreign languages
2016-01-05 10:14:00,General,3,8:00-11:00,10:13:45,10:14:28,10:14:35,50,7,Full reply received,No,Arabic; Russian; Amharic
2016-01-05 10:18:00,General,3,8:00-11:00,10:16:33,10:17:12,10:18:46,133,94,Call Disconnected,No,No Foreign languages
2016-01-05 10:19:00,Life,3,8:00-11:00,10:19:30,10:20:09,10:20:15,45,6,Full reply received,No,No Foreign languages
2016-01-05 10:22:00,Health,3,8:00-11:00,10:21:10,10:21:10,10:22:13,63,63,Full reply received,Yes,No Foreign languages
2016-01-05 10:28:00,Life,3,8:00-11:00,10:23:25,10:23:25,10:28:28,303,303,Full reply received,No,No Foreign languages
2016-01-05 10:29:00,General,3,8:00-11:00,10:29:46,10:29:46,10:30:19,33,33,Full reply received,No,No Foreign languages
2016-01-05 10:33:00,Life,3,8:00-11:00,10:31:02,10:32:32,10:33:36,154,64,Full reply received,Yes,No Foreign languages
2016-01-05 10:37:00,General,3,8:00-11:00,10:34:31,10:35:49,10:38:10,219,141,Full reply received,No,No Foreign languages
2016-01-05 10:41:00,General,3,8:00-11:00,10:38:56,10:39:38,10:41:50,174,132,Full reply received,No,Arabic; Russian; Amharic
2016-01-05 10:43:00,General,3,8:00-11:00,10:42:43,10:43:57,10:44:00,77,3,Full reply received,No,No Foreign languages
2016-01-05 10:51:00,Life,3,8:00-11:00,10:44:50,10:46:01,10:51:34,404,333,Full reply received,No,No Foreign languages
2016-01-05 11:03:00,Health,3,8:00-11:00,10:52:39,10:53:37,11:03:40,661,603,Waited for more than 10 minutes and hang up,No,No Foreign languages
2016-01-05 11:15:00,General,3,11:01-14:00,11:12:19,11:12:19,11:16:18,239,239,Full reply received,No,No Foreign languages
2016-01-05 11:20:00,General,3,11:01-14:00,11:17:09,11:17:30,11:20:44,215,194,Full reply received,No,No Foreign languages
2016-01-05 11:22:00,Life,3,11:01-14:00,11:21:34,11:22:38,11:22:44,70,6,Full reply received,No,No Foreign languages
2016-01-05 11:26:00,General,3,11:01-14:00,11:23:47,11:25:16,11:26:39,172,83,Full reply received,Yes,No Foreign languages
2016-01-05 11:28:00,General,3,11:01-14:00,11:27:41,11:28:36,11:28:41,60,5,Full reply received,No,No Foreign languages
2016-01-05 11:36:00,Health,3,11:01-14:00,11:29:31,11:29:52,11:36:32,421,400,Full reply received,No,No Foreign languages
2016-01-05 11:37:00,General,3,11:01-14:00,11:37:37,11:38:16,11:38:22,45,6,Full reply received,No,No Foreign languages
2016-01-05 11:40:00,Health,3,11:01-14:00,11:39:00,11:40:28,11:40:55,115,27,Full reply received,No,No Foreign languages
2016-01-05 11:42:00,Life,3,11:01-14:00,11:41:36,11:42:32,11:43:09,93,37,Full reply received,No,No Foreign languages
2016-01-05 11:51:00,Life,3,11:01-14:00,11:50:21,11:51:31,11:51:44,83,13,Full reply received,No,No Foreign languages
2016-01-05 11:53:00,General,3,11:01-14:00,11:52:42,11:53:28,11:53:33,51,5,Full reply received,No,No Foreign languages
2016-01-05 11:55:00,Life,3,11:01-14:00,11:54:17,11:55:25,11:56:14,117,49,Full reply received,Yes,No Foreign languages
2016-01-05 12:01:00,Life,3,11:01-14:00,11:56:56,11:58:00,12:01:42,286,222,Full reply received,No,No Foreign languages
2016-01-05 12:06:00,Life,3,11:01-14:00,12:02:28,12:03:30,12:07:13,285,223,Full reply received,No,No Foreign languages
2016-01-05 12:08:00,Health,3,11:01-14:00,12:07:58,12:07:58,12:08:30,32,32,Full reply received,No,No Foreign languages
2016-01-05 12:20:00,Life,3,11:01-14:00,12:09:17,12:10:22,12:21:07,710,645,Full reply received,Yes,No Foreign languages
2016-01-05 12:22:00,General,3,11:01-14:00,12:22:26,12:22:26,12:22:38,12,12,Full reply received,No,No Foreign languages
